name,address,website,type,location,source,combined_at,normalized_name,category,crawled_at
Trường Đại học Ngoại thương,FTU,NTH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712837,goại thương,Đa ngành,
Trường Đại học Sân khấu - Điện ảnh Hà Nội,SKDA,SKD,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712845,ân khấu - Điện ảnh Hà Nội,Đa ngành,
Trường Đại học Sư phạm Hà Nội,HNUE,SPH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712851,ư phạm Hà Nội,Đa ngành,
Trường Đại học Sư phạm Nghệ thuật Trung ương,NUAE,GNT,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712855,ư phạm Nghệ thuật Trung ương,Đa ngành,
Trường Đại học Sư phạm Thể dục Thể thao Hà Nội,HUPES,TDH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712861,ư phạm Thể dục Thể thao Hà Nội,Đa ngành,
Trường Đại học Thủy lợi,TLU,TLA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712866,hủy lợi,Y tế,
Trường Đại học Thương mại,TMU,TMA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712869,hương mại,Đa ngành,
Trường Đại học Văn hóa Hà Nội,HUC,VHH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712873,ăn hóa Hà Nội,Đa ngành,
Trường Đại học Xây dựng Hà Nội,HUCE,XDA,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712877,ây dựng Hà Nội,Y tế,
Trường Đại học Y Hà Nội,HMU,YHB,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712880, Hà Nội,Đa ngành,
Trường Đại học Y tế Công cộng,HUPH,YTC,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712884, tế Công cộng,Đa ngành,
Trường Đại học Thủ đô Hà Nội,HNMU,HNM,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712889,hủ đô Hà Nội,Đa ngành,
Trường Đại học Công nghiệp Dệt May Hà Nội,HTU,CCM,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712893,ông nghiệp Dệt May Hà Nội,Y tế,
Trường Đại học Mở Hà Nội,HOU,MHN,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712896,ở Hà Nội,Đa ngành,
Trường Đại học Văn hóa - Nghệ thuật Quân đội,MUCA,ZNH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712900,ăn hóa - Nghệ thuật Quân đội,Đa ngành,
Trường Đại học Phòng cháy chữa cháy,UFPF,PCH,Đại học/Cao đẳng,Hà Nội,Wikipedia,2025-08-03T20:42:05.712906,hòng cháy chữa cháy,Y tế,
