name,address,website,type,location,source
Học viện Công nghệ Bưu chính Viễn thông,PTIT,BVH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Chính trị,,HCB,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Kỹ thuật Mật mã,VACT,KMA,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Ngân hàng,BAV,NHH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Ngoại giao,DAV,HQT,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Nông nghiệp Việt Nam,VNUA,HVN,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Phụ nữ Việt Nam,VWA,HPN,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Tòa án,CTA,HTA,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Tư pháp,,HVC,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Tài chính,AOF,HTC,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Quân y(Đại học Y - Dược Lê Hữu Trác),,YQH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Y – Dược học cổ truyền Việt Nam,,HYD,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Chính sách và Phát triển,APD,HCP,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Thanh thiếu niên Việt Nam,VYA,HTN,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện An ninh nhân dân,T31/T01/C500,ANH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Cảnh sát nhân dân,T32/T02/T18,CSH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Phòng không - Không quân,,KPH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Sĩ quan Đặc công,,DCH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Sĩ quan Pháo binh,,PBH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Sĩ quan Phòng hóa,,HGH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Sĩ quan Lục quân 1(Trường Đại học Trần Quốc Tuấn),,LAH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Quản lý Giáo dục,,HVQ,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Kỹ thuật Quân sự,MTA,KQH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Hậu cần,,HEH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Khoa học Quân sự,MSA,NQH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Dân tộc,VAEM,HVD,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Quốc phòng,,,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Sĩ quan Chính trị,,LCH,Đại học/Cao đẳng,Hà Nội,Wikipedia
Học viện Chính trị Công an Nhân dân,T29/T03,HCA,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Thành Đô,TDU,TDD,Đại học/Cao đẳng,Hà Nội,Wikipedia
Đại học Phenikaa,PHENA,PKA,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Thăng Long,TLU,DTL,Đại học/Cao đẳng,Hà Nội,Wikipedia
Trường Đại học Phương Đông,PDU,DPD,Đại học/Cao đẳng,Hà Nội,Wikipedia
